date,doy,electron_activity,proton_activity,flare,cme,missing_data,missing_pct,units
2017-07-01,182,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-02,183,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-03,184,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-04,185,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-05,186,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-06,187,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-07,188,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-08,189,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-09,190,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-10,191,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-11,192,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-12,193,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-13,194,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-14,195,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-15,196,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-16,197,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-17,198,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-18,199,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-19,200,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-20,201,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-21,202,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-22,203,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-23,204,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-25,206,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-26,207,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-27,208,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-28,209,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-29,210,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-07-30,211,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-07-31,212,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-01,213,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-02,214,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-03,215,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-04,216,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-05,217,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-06,218,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-07,219,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-08,220,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-09,221,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-10,222,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-11,223,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-12,224,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-13,225,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-14,226,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-15,227,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-16,228,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-17,229,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-18,230,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-19,231,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-20,232,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-21,233,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-22,234,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-23,235,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-24,236,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-08-25,237,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-26,238,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-27,239,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-28,240,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-29,241,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-30,242,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-08-31,243,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-09-01,244,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-02,245,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-03,246,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-04,247,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-05,248,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-09-06,249,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-07,250,High,High,No,No,No,0,particles/sq cm.sec.sr
2017-09-08,251,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-09,252,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-10,253,High,High,No,No,No,0,particles/sq cm.sec.sr
2017-09-11,254,High,High,No,No,No,0,particles/sq cm.sec.sr
2017-09-12,255,Medium,High,No,No,No,0,particles/sq cm.sec.sr
2017-09-13,256,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-09-15,258,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-16,259,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-17,260,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-18,261,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-19,262,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-20,263,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-21,264,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-22,265,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-23,266,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-09-24,267,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-09-25,268,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-09-26,269,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-09-27,270,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-09-28,271,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-09-29,272,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-09-30,273,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-01,274,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-02,275,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-03,276,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-04,277,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-05,278,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-06,279,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-07,280,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-08,281,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-09,282,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-10,283,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-11,284,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-12,285,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-13,286,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-14,287,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-15,288,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-16,289,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-17,290,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-18,291,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-19,292,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-10-20,293,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-21,294,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-22,295,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-23,296,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-24,297,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-25,298,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-26,299,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-27,300,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-28,301,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-29,302,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-30,303,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-10-31,304,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-01,305,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-02,306,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-03,307,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-04,308,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-05,309,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-06,310,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-07,311,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-08,312,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-09,313,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-10,314,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-11,315,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-12,316,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-13,317,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-14,318,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2017-11-15,319,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-16,320,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-17,321,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-18,322,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-19,323,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-20,324,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2017-11-21,325,Low,Low,No,No,No,0,particles/sq cm.sec.sr
