,gain_share
flux_now,0.6814833170872285
flux_mean_1h,0.21540975215712777
flux_lag_1h,0.0761829103841981
flux_mean_6h,0.0061158901893046715
flux_mean_24h,0.0034737727277390105
flux_trend_30min,0.0017289296426422074
flux_trend_6h,0.0012420250446809906
flux_std_30min,0.0010992650218274872
flux_trend_15min,0.000777778843170503
flux_std_6h,0.0006559649388062041
flux_std_15min,0.0005812385526905279
SYM_H_roc_3h,0.00047560146014722715
flux_lag_12h,0.0004514693097252582
flow_speed_mean_24h,0.000369791706904126
AE_INDEX_roc_1h,0.00035590142384578425
SYM_H_roc_1h,0.0003512218202977604
flux_std_24h,0.0003392598191412055
proton_density_mean_24h,0.0003125064605899203
proton_density_mean_6h,0.0003103197113605264
BZ_GSM_mean_1h,0.00030957828846713453
BZ_GSM,0.00030651011495430195
SYM_H_mean_24h,0.0003050144484506682
SYM_H_roc_6h,0.0003005913849329472
AE_INDEX,0.0002887610894084773
AE_INDEX_mean_1h,0.0002861598665142508
proton_density_mean_1h,0.00025970253663912176
AE_INDEX_mean_6h,0.00023899653425536635
AE_INDEX_mean_24h,0.00022766413085078925
BZ_GSM_mean_6h,0.00021363998442533702
BZ_GSM_min_24h,0.00021245584877182847
proton_density_std_6h,0.00019933162449415901
flux_lag_3h,0.0001799310518007775
flow_speed_mean_6h,0.00017460798233973873
BZ_GSM_std_6h,0.00017165500673860262
SYM_H_lag720,0.00016734967594751081
p_dyn_jump_3h,0.0001673065107725607
flux_lag_6h,0.00015886258135607858
proton_density_std_24h,0.00015041150837024044
p_dyn,0.0001488195398480454
flow_speed_lag648,0.00014008072346957098
BZ_GSM_mean_24h,0.0001396970865616063
BZ_GSM_std_24h,0.00013798445246905816
SYM_H,0.0001329704942620724
SYM_H_mean_1h,0.00012810555593958432
AE_INDEX_roc_6h,0.0001255891655500704
AE_INDEX_lag858,0.0001242009668200324
flow_speed_lag576,0.00012234414156068904
SYM_H_mean_6h,0.00012058956780288967
BZ_GSM_roc_1h,0.00011992417888303889
log_flux_carr,0.00011714533040356511
p_dyn_jump_1h,0.00011195430175675127
SYM_H_std_6h,0.00011160024467263011
AE_INDEX_lag720,0.0001110266747102199
proton_density,0.00010848428675598234
flow_speed_std_6h,0.00010804601515921891
proton_density_lag204,0.00010206759129364172
AE_INDEX_std_24h,9.847200868372408e-05
flow_speed_max_24h,9.725035357943386e-05
p_dyn_roc_6h,9.674574734230184e-05
BZ_GSM_lag792,9.5149054846823e-05
AE_INDEX_std_6h,9.501182918387196e-05
BZ_GSM_roc_3h,9.125997837568193e-05
SYM_H_std_24h,8.846885385033541e-05
flow_speed_std_24h,8.469131447345692e-05
flow_speed_mean_1h,8.221690040974076e-05
AE_INDEX_carr,8.091844669765288e-05
SYM_H_carr,7.587556855666147e-05
proton_density_carr,7.466187402819316e-05
ec_newell_proxy,7.459688011638404e-05
BZ_GSM_carr,6.908306583165472e-05
AE_INDEX_roc_3h,6.701521722915867e-05
flow_speed_carr,6.623623298721766e-05
BZ_GSM_roc_6h,6.60043026580906e-05
AE_INDEX_max_24h,6.455257643810542e-05
vbs_rect,6.208394426630201e-05
p_dyn_roc_1h,5.889924258765532e-05
flow_speed,5.7532458854022436e-05
SYM_H_min_24h,5.568483539186268e-05
p_dyn_roc_3h,5.151252477531074e-05
