,gain_share
flux_now,0.43594238266870156
flux_mean_24h,0.21559543489243013
flux_mean_1h,0.0941382575552167
flux_lag_1h,0.028818639707794653
flux_lag_12h,0.02742602420666208
flux_trend_6h,0.02172055903095684
SYM_H_mean_24h,0.015782776760485475
flow_speed_mean_24h,0.014736260504361394
proton_density_mean_6h,0.011425897471845114
proton_density_std_24h,0.009779357593027053
flux_mean_6h,0.008715892586165497
BZ_GSM_min_24h,0.006091302628671394
proton_density_mean_1h,0.005916702288319292
SYM_H_mean_6h,0.005822683640154786
proton_density_mean_24h,0.0055172386464395805
flux_std_6h,0.004693001280219617
flux_lag_6h,0.004267898347268611
BZ_GSM_mean_24h,0.004086309499906101
AE_INDEX_mean_6h,0.004057130064570623
flow_speed_mean_6h,0.00400480042458143
BZ_GSM_std_6h,0.003999742164398552
flow_speed_max_24h,0.0039245890477848325
proton_density_std_6h,0.0037657375654296128
AE_INDEX_mean_24h,0.0035974251449797804
BZ_GSM_mean_1h,0.0035694112286117595
BZ_GSM_mean_6h,0.003444371136114255
flux_std_24h,0.0034029542831736656
BZ_GSM_std_24h,0.0033314596700017313
flux_lag_3h,0.003275219215988562
AE_INDEX_max_24h,0.0029097018012931445
p_dyn_jump_3h,0.0023320944854779897
flux_trend_30min,0.0021659653311754687
SYM_H_std_24h,0.00187859438630694
SYM_H_min_24h,0.001831012225067224
p_dyn,0.001736495334376648
log_flux_carr,0.001721899769623788
AE_INDEX_std_6h,0.0016566282268645996
BZ_GSM,0.0016293937446616512
SYM_H_lag720,0.0015392162770528632
flow_speed_std_24h,0.0014366001103632826
SYM_H_lag582,0.0012744375831699848
AE_INDEX_std_24h,0.0012634009442274547
SYM_H_std_6h,0.0012606054173942135
flow_speed_mean_1h,0.0010985623124849025
SYM_H_mean_1h,0.0009932152026750085
SYM_H_carr,0.000965636008226516
AE_INDEX_mean_1h,0.0008450227793110187
proton_density_lag204,0.0007770303929421805
AE_INDEX,0.000720057635813702
flow_speed_carr,0.000710959349884891
flow_speed_lag576,0.0006671354026067137
AE_INDEX_roc_6h,0.0006472703295729279
AE_INDEX_lag858,0.0005929608311248773
BZ_GSM_lag792,0.0005759609183925923
proton_density,0.0005460951149968846
AE_INDEX_lag720,0.0004922346018123696
AE_INDEX_carr,0.0004782061600201494
flow_speed_std_6h,0.0004395671597691399
flow_speed,0.0004082563733148495
proton_density_carr,0.0003905671246836752
p_dyn_roc_3h,0.00034336478034827935
SYM_H,0.0003431684157396316
BZ_GSM_lag654,0.00033797082217608464
p_dyn_roc_6h,0.00026730895352485267
proton_density_lag66,0.0002020842538907818
BZ_GSM_roc_6h,0.0001901111289627508
SYM_H_roc_6h,0.0001846842144926012
p_dyn_jump_1h,0.00017539409323130632
flux_std_30min,0.00015419568545747966
BZ_GSM_carr,0.00014749794911756987
ec_newell_proxy,0.00011829427274169405
flux_trend_15min,0.000115739495208701
SYM_H_roc_3h,9.783951895864798e-05
AE_INDEX_roc_1h,8.287306850250982e-05
BZ_GSM_roc_3h,8.074263099074779e-05
vbs_rect,7.715074888246273e-05
SYM_H_roc_1h,6.489886306388441e-05
AE_INDEX_roc_3h,5.992743984687009e-05
flux_std_15min,4.874206013956165e-05
p_dyn_roc_1h,4.6717207917735986e-05
BZ_GSM_roc_1h,2.7051807857522007e-05
